t,y1(58),y2(12),y3(80),y4(22),y5(36),y6(70),y7(65),y8(0),y9(75),y10(78),y11(97),y12(60),y13(21),y14(51),y15(68),y16(37),y17(41),y18(35),y19(79),y20(23),y21(94),y22(14),y23(84),y24(87),y25(31),y26(18)
30,0.028758252339085702,-0.02171777956161698,0.22776054115085664,-0.061235457055085235,-0.07451849105129336,0.17500196254584485,0.08213357504954638,-0.33357078732871415,-0.019918778207342384,0.1515078293699949,-0.001591091969131625,0.15150039032857285,0.009291385800661009,0.1404011625856278,-0.12192086809512426,-0.10535535815974899,-0.007524172621929684,0.06678945476512851,-0.039023376469827384,-0.11716582555452529,0.09426381820927165,-0.026804214210886912,0.2673963907447744,0.12721123203644372,0.09895966845174513,0.10632713971244209
31,0.013333014147084127,-0.0315199956988815,0.10505136670166325,-0.11198836512223148,-0.08962245588734509,-0.1506000565563315,0.14354161235427104,0.015017172767201426,0.06018195177692447,0.08148012143409686,-0.03322116699371176,0.011857305626617177,0.14922552983061985,0.06970963058184448,-0.2122828167755068,-0.04504560369098025,0.14628771724885606,-0.012709833128506716,-0.01999406641322069,-0.23263136891295272,0.06099009405205437,-0.03164922630773954,0.08353995983309953,-0.3275882262574549,0.02127178543147141,-0.13944269273751253
32,0.2009548587584085,0.008711945521485007,0.045886506456878556,0.03544668800095861,0.09953994204171451,-0.026865856503236404,-0.07025317061149405,0.0037131236846092083,-0.08947552655032703,-0.012065741432039635,0.22154015217811632,0.04900505535544354,-0.08809226193739628,-0.1637595560889335,0.045584652369014905,0.032305739238337086,0.06120701929051517,0.09439239006807207,0.20058142061886766,-0.07993028382388176,-0.0435138787972948,-0.06085724220804135,0.055964496551642935,0.06497763688168641,-0.053299703545224605,-0.09644978432339349
33,-0.05791982451666721,0.016019806243831425,0.04200793908683128,-0.004129135485084815,-0.021815128961422545,0.11475580646543285,-0.2210606521611272,0.06699099115949861,-0.05739453394471743,-0.03964707991573134,-0.06958532315538898,-0.1407257905575135,0.1760764270011852,0.09798708009822796,0.02392182040102518,-0.07243980049261199,-0.10239646421126702,-0.1845567631595646,-0.2218089450694875,0.1412114551929351,-0.013257739759575188,-0.02999441508592153,0.20139604464453492,0.02705908229074233,0.09541671616391954,-0.12434817541770918
34,0.1860679431870438,0.039886977381708516,-0.05321725566354299,0.040478002920055704,0.03815527158569089,0.20653415802013825,0.02299747411217351,-0.17146196795965135,-0.10600338898028495,0.018014342538919623,-0.17862005274229933,0.15156590482477345,0.10590455852051645,0.05593916116982782,0.0325454356963818,0.14594176630269884,0.20651682868027907,-0.09242381715041775,-0.13587678848537976,0.053616880607398026,-0.022307048246295258,-0.22919468790768183,0.14866981476904545,0.17790907438401066,-0.04298726942511335,-0.028736832469628423
35,0.06468759807560359,-0.07093473730937688,0.0037547571322167463,0.2403057027519806,-0.031037916281871688,-0.16718920618081734,0.12956885455318995,0.280859172023154,-0.05591487530089945,0.0833572032964009,-0.05370321895705236,-0.1369421746612871,0.03477484959543327,0.04767339949640419,-0.10801900822979812,0.11737350123264989,0.061846323895068334,0.04289615769396786,0.10110922476340001,-0.1839504851684292,-0.14119076098970962,-0.010640838689488528,-0.2037023051623087,-0.14849624458954794,-0.018344976017430695,0.08113096749040592
36,-0.16815916568144149,-0.06747794772454624,0.0013556943412670573,-0.1287491041926655,-0.03420021937834016,-0.03816680467667645,0.14398754565318517,-0.00035930705416461345,0.02025733876424829,0.03785311113564048,-0.09478241351281315,0.2429918280163282,-0.27436076914032625,-0.07797425875880885,0.1011928473291843,0.2066188460528705,0.026140056779252338,0.3984684287930536,0.04897747900998564,0.046050827237932385,-0.1269400940024779,-0.05797482417240979,0.028715198932717588,-0.0026400469679349614,-0.10992626625595847,-0.24164775741463268
37,-0.099985259841313,0.08598865082430049,-0.0762294538707236,0.0681650602611382,-0.1018291525627415,0.1906168640300791,0.2110617759144175,0.012717883447237708,-0.16244332110826493,0.04845394404957198,-0.13844779211652902,0.13544753442912846,0.00721096904681498,-0.1494011524566869,0.1006456053344353,-0.0966318974813274,0.20391756306010703,-0.09605897794398777,-0.09234965468532567,-0.0831277139347687,0.09309649545027451,-0.08630798478999158,0.23756645659533726,0.13053318641974015,-0.05764452543109706,-0.1376743835618885
38,0.044076288510420704,-0.163736412143484,-0.11337225358361834,-0.22588969728254538,0.016676368463143028,0.053972741868770616,-0.08333307754812862,-0.04318623647474691,0.07414220764824427,-0.015460671006120367,0.15132742632636614,0.16520171166805336,-0.051934750435051635,-0.08212611188312496,0.09963563982022343,0.06658353832074376,0.035146297821474104,-0.25072925652069655,-0.17750815622012286,0.13549806917553664,0.16678757154164014,-0.05747900287102283,-0.04692314524259842,-0.01657317156730298,0.25202943925115673,0.08819090468454233
39,0.18925979719260813,-0.017033862245521135,0.1396563137958482,0.16613635253158324,0.09131750407447234,0.08768157562896592,-0.25497928809073817,-0.1449382309908118,0.11575531335427851,-0.009129434906047593,0.13659162428149388,-0.01733328906928641,0.10567468705929879,0.19069588388200892,-0.12598821804589735,-0.10385141301457715,-0.19373762608308676,-0.17228933653908343,-0.11409085475969116,0.08919920010561544,0.16088925649386948,0.11340743751715432,-0.24124751880616702,0.16045073508202568,-0.1328848135189784,-0.031132122213414062
