i,j,D_l
3,54,0.015043605963250068
3,55,0.003933567114140297
3,56,0.0063262373597818234
3,57,0.020104848245459203
3,58,0.024680292252699673
3,59,0.0047767915491398905
3,60,0.004151184591015605
3,61,0.01335908025332277
3,62,0.03605780505940197
3,63,0.01914287421566649
3,64,0.0059145087805705775
3,65,0.022348454982357626
3,66,0.0189130616948645
3,67,0.04453178234399461
3,68,0.06168037945678037
3,69,0.04643991137584066
3,70,0.010357038367463569
3,71,0.018473956387083965
3,72,0.028965316967509563
3,73,0.02822780106929254
3,74,0.0038129637989362977
3,75,0.02681487102967148
3,76,0.01301495243518294
3,77,0.03838755659559846
3,78,0.03164609952632996
3,79,0.04443943397139639
3,80,0.016716987689839192
3,81,0.03312296065933892
3,82,0.010532600645878128
3,83,0.04402629802840829
3,84,0.04382246886000238
3,85,0.028457772754333668
3,86,0.03408762734703352
3,87,0.018574306341193135
3,88,0.001494853064245622
3,89,0.015775465732333852
3,90,0.028571820814349683
3,91,0.02392244078940786
3,92,0.007325231318979982
3,93,0.037686733558452486
3,94,0.054603280917751414
3,95,0.008653139544889285
3,96,0.04338179722861065
3,97,0.047878734371588225
3,98,0.04224127724558954
3,99,0.04167120551086545
4,0,0.01694192857313943
4,1,0.055896259794263145
4,2,0.003682200603643135
4,3,0.002706774149178676
4,4,0.0
4,5,0.010610504817510647
4,6,0.039997539406652835
4,7,0.013172630149839848
4,8,0.019599511182253327
4,9,0.0251686530213507
4,10,0.015473608066147896
4,11,0.030464068045255022
4,12,0.05237410406407566
4,13,0.01967409322476891
4,14,0.01722430100106323
4,15,0.018911397885346345
4,16,0.0011540966253348781
4,17,0.03085371016013801
4,18,0.010514138710391863
4,19,0.02248754049918556
4,20,0.009387315935034604
4,21,0.04785365596775547
4,22,0.018983586698605164
4,23,0.010983404857049654
4,24,0.038914557020972414
4,25,0.050571538252018176
4,26,0.0052302993527643445
4,27,0.0041523587871049065
4,28,0.019913387141501673
4,29,0.05557704648552689
4,30,0.019736444878178706
4,31,0.049309218788740936
4,32,0.0017950630108549206
4,33,0.011854291626501975
4,34,0.013526573711320171
4,35,0.014134112831981122
4,36,0.048707740910619045
4,37,0.05580323794322623
4,38,0.025199734713788818
4,39,0.017642674826957215
4,40,0.009141457567956585
4,41,0.0067075290174051705
4,42,0.025147823719070844
4,43,0.03346524199449966
4,44,0.05769456584706167
4,45,0.02732682974185208
4,46,0.05053171464336872
4,47,0.04312628074173587
4,48,0.014116931724338432
4,49,0.0002722884381626467
4,50,0.04107559901137013
4,51,0.012949736668217226
4,52,0.0018119176778530015
4,53,0.037023153092658606
4,54,0.012368922445139886
4,55,0.001293574412790921
4,56,0.0038139909200560797
4,57,0.017454312609518515
4,58,0.0220157742197911
4,59,0.007475344951742708
4,60,0.0017124256679046626
4,61,0.016028859969137214
4,62,0.03339772966004407
4,63,0.016504212696335178
4,64,0.008617915507204985
4,65,0.019694149384718078
4,66,0.016247236058565956
4,67,0.041881555357918994
4,68,0.05903344459783395
4,69,0.04378023476101248
4,70,0.013024634215808798
4,71,0.015792089404603065
4,72,0.026308397064900072
4,73,0.02557753691240543
4,74,0.001106619095528015
4,75,0.024164872246483046
4,76,0.010336721078210412
4,77,0.03573079422998314
4,78,0.028998686158722916
4,79,0.04178631622918903
4,80,0.014066357792330649
4,81,0.030455135377122418
4,82,0.007900294157478076
4,83,0.04137557434899992
4,84,0.041162257035014485
4,85,0.025788910360519387
4,86,0.03142640908390772
4,87,0.015893995492783284
4,88,0.004143608312124421
4,89,0.01310440886030178
4,90,0.02590731498014549
4,91,0.0212726111645803
4,92,0.004620223095970212
4,93,0.035040064851957896
4,94,0.051949504119278
4,95,0.01135523547379705
4,96,0.040728621761466605
4,97,0.04522259978255264
4,98,0.039588442684867886
4,99,0.039022898898132985
5,0,0.027481628975475143
5,1,0.06632988199675936
5,2,0.0071185662958684415
5,3,0.007904246158871584
5,4,0.010610504817510647
5,5,0.0
5,6,0.05046416893368143
5,7,0.023684561598321673
5,8,0.030054268551399914
5,9,0.035607233038469695
5,10,0.025971431126458014
5,11,0.040924562551622565
5,12,0.06280954788024917
5,13,0.030163762446616706
5,14,0.006977584783072286
5,15,0.029341417168677476
5,16,0.009551452425226033
5,17,0.04135852795278795
5,18,0.0019585967906941646
5,19,0.03301717038445161
5,20,0.0014785370346737609
5,21,0.05828781952566142
5,22,0.02946895282366028
5,23,0.0006800449675673954
5,24,0.0493719457847564
5,25,0.061011546157219855
5,26,0.015564381064683906
5,27,0.014708139451263869
5,28,0.030410899038694747
5,29,0.06600480075883955
5,30,0.030159255518497324
5,31,0.0597641831676848
5,32,0.01237839228318924
5,33,0.022368346782147785
5,34,0.024065702003380693
5,35,0.024643221044649145
5,36,0.05915482284266064
5,37,0.06623747166597388
5,38,0.035649132462354544
5,39,0.02810953239441105
5,40,0.0019569191745368725
5,41,0.017231814641264977
5,42,0.03565537488520165
5,43,0.043914452844795705
5,44,0.06811714864716369
5,45,0.037794299458499686
5,46,0.06097859724622941
5,47,0.05356161097373087
5,48,0.02467177278835661
5,49,0.010450622360928608
5,50,0.05153833196551334
5,51,0.002488801817687739
5,52,0.012414928338241161
5,53,0.047492356278706835
5,54,0.02290925551104896
5,55,0.01182279286944847
5,56,0.014100672802249421
5,57,0.02792494339546579
5,58,0.03251722125743984
5,59,0.0031637846137303987
5,60,0.011966958003957114
5,61,0.0057010659531475175
5,62,0.043876131409845615
5,63,0.02694578740655336
5,64,0.0020085207986039635
5,65,0.030170884978691553
5,66,0.026759703313411924
5,67,0.05232403220207037
5,68,0.0694559632769673
5,69,0.05425085306428344
5,70,0.0029027900763766426
5,71,0.02634554513920807
5,72,0.036783852768171026
5,73,0.036034774184095376
5,74,0.011715921793546096
5,75,0.03462317245741717
5,76,0.020888488029203796
5,77,0.046197553544086764
5,78,0.03944364911019384
5,79,0.0522378119389817
5,80,0.024544744572131152
5,81,0.04095847145982332
5,82,0.018360167392624558
5,83,0.051819928809487194
5,84,0.05163599495514121
5,85,0.03629879197142808
5,86,0.04190969550906375
5,87,0.026443489076233465
5,88,0.006506979615235323
5,89,0.023634911157343976
5,90,0.036404781482700745
5,91,0.03173462971082192
5,92,0.015228813480120331
5,93,0.04547685159030995
5,94,0.06239738011002962
