method,group_id,leader,member,distance_to_leader,threshold_eps
groups,1,50,16,0.012033980941544443,0.027073277515685223
groups,1,50,71,0.011580327578941663,0.027073277515685223
groups,1,50,47,0.01193631636723083,0.027073277515685223
groups,1,50,11,0.012911821719760984,0.027073277515685223
groups,1,50,43,0.011941539826318728,0.027073277515685223
groups,1,50,48,0.015569606970385435,0.027073277515685223
groups,1,50,86,0.014749206458714024,0.027073277515685223
groups,1,50,85,0.013538656580912368,0.027073277515685223
groups,1,50,1,0.019800510224424087,0.027073277515685223
groups,1,50,96,0.01880909867035197,0.027073277515685223
groups,1,50,57,0.015677484926323162,0.027073277515685223
groups,1,50,13,0.016197561803932257,0.027073277515685223
groups,1,50,76,0.017285354941432168,0.027073277515685223
groups,1,50,6,0.019222650604338438,0.027073277515685223
groups,1,50,39,0.01794519250453997,0.027073277515685223
groups,1,50,2,0.01819312721476725,0.027073277515685223
groups,1,50,32,0.022202443294429802,0.027073277515685223
groups,1,50,8,0.019835747162831444,0.027073277515685223
groups,1,50,67,0.019685442750932924,0.027073277515685223
groups,1,50,73,0.024233601140650794,0.027073277515685223
groups,1,50,52,0.02008585306935141,0.027073277515685223
groups,1,50,10,0.021845823848899246,0.027073277515685223
groups,1,50,95,0.022440446430789695,0.027073277515685223
groups,1,50,82,0.0242960437786964,0.027073277515685223
groups,1,50,34,0.023078552465170907,0.027073277515685223
groupsm,0,35,12,0.010664663520053755,0.029087116925663792
groupsm,0,35,23,0.0023085528426350123,0.029087116925663792
groupsm,0,35,94,0.0017704245183863417,0.029087116925663792
groupsm,0,35,80,0.007796145798101067,0.029087116925663792
groupsm,0,35,14,0.0030840235974678235,0.029087116925663792
groupsm,0,35,87,0.002311119441917756,0.029087116925663792
groupsm,0,35,35,0.0,0.029087116925663792
groupsm,0,35,60,0.00543209422483088,0.029087116925663792
groupsm,0,35,72,0.008416147697069656,0.029087116925663792
groupsm,0,35,37,0.003937434895068984,0.029087116925663792
groupsm,0,35,70,0.006457848237203885,0.029087116925663792
groupsm,0,35,78,0.005755048519504122,0.029087116925663792
groupsm,0,35,31,0.010175570579112534,0.029087116925663792
groupsm,0,35,51,0.005942836501135109,0.029087116925663792
groupsm,0,35,18,0.008634665980081063,0.029087116925663792
groupsm,1,52,93,0.00469230638749222,0.025649827647849066
groupsm,1,52,57,0.004622395384671347,0.025649827647849066
groupsm,1,52,85,0.006625355443960045,0.025649827647849066
groupsm,1,52,76,0.004228855757505337,0.025649827647849066
groupsm,1,52,6,0.0062646160455642995,0.025649827647849066
groupsm,1,52,39,0.002315405990663914,0.025649827647849066
groupsm,1,52,2,0.005383867520245327,0.025649827647849066
groupsm,1,52,32,0.0065113531780697145,0.025649827647849066
groupsm,1,52,8,0.005297123902012358,0.025649827647849066
groupsm,1,52,67,0.0008720636232056463,0.025649827647849066
groupsm,1,52,73,0.00582206931653245,0.025649827647849066
groupsm,1,52,11,0.008228575004740979,0.025649827647849066
groupsm,1,52,52,0.0,0.025649827647849066
groupsm,1,52,47,0.008770700811816978,0.025649827647849066
groupsm,1,52,10,0.0038879130578509803,0.025649827647849066
groupsm,1,52,95,0.002403861358779026,0.025649827647849066
groupsm,1,52,82,0.004914784031236873,0.025649827647849066
groupsm,1,52,34,0.00310795987670539,0.025649827647849066
groupsm,2,90,74,0.006330964226926067,0.027639919396638346
groupsm,2,90,83,0.008997538093608032,0.027639919396638346
groupsm,2,90,45,0.009292238454705,0.027639919396638346
groupsm,2,90,89,0.005263718877213521,0.027639919396638346
groupsm,2,90,81,0.005948063048859513,0.027639919396638346
groupsm,2,90,38,0.008780615929350529,0.027639919396638346
groupsm,2,90,29,0.009101407630521885,0.027639919396638346
groupsm,2,90,64,0.005705427805767307,0.027639919396638346
groupsm,2,90,66,0.009353754687750552,0.027639919396638346
groupsm,2,90,46,0.0073298370985524905,0.027639919396638346
groupsm,2,90,42,0.009903884038922037,0.027639919396638346
groupsm,2,90,62,0.0037780439149346563,0.027639919396638346
groupsm,2,90,49,0.006644776461618359,0.027639919396638346
groupsm,2,90,50,0.009316791220060204,0.027639919396638346
groupsm,2,90,56,0.010047367582198794,0.027639919396638346
groupsm,2,90,77,0.002230124364138564,0.027639919396638346
groupsm,2,90,33,0.005764649528126712,0.027639919396638346
groupsm,2,90,5,0.0019539544460735266,0.027639919396638346
groupsm,2,90,54,0.008182282482113373,0.027639919396638346
groupsm,2,90,24,0.008937309772192611,0.027639919396638346
groupsm,2,90,3,0.012643137275635975,0.027639919396638346
groupsm,2,90,27,0.009268662223352242,0.027639919396638346
groupsm,2,90,55,0.00595629937497495,0.027639919396638346
groupsm,2,90,63,0.0025072274647764247,0.027639919396638346
groupsm,2,90,90,0.0,0.027639919396638346
groupsm,2,90,7,0.00978935296191416,0.027639919396638346
groupsm,2,90,25,0.0063830099970661434,0.027639919396638346
groupsm,2,90,92,0.008923124958054873,0.027639919396638346
groupsm,2,90,59,0.007053502814439901,0.027639919396638346
groupsm,2,90,88,0.007048578323168679,0.027639919396638346
