method,group_id,leader,member,distance_to_leader,threshold_eps
groupsm,3,16,23,0.003171860286431561,0.01854441211361768
groupsm,3,16,93,0.0023076639481659908,0.01854441211361768
groupsm,3,16,96,0.0041463863552930295,0.01854441211361768
groupsm,3,16,87,0.003956276998042831,0.01854441211361768
groupsm,3,16,65,0.0011072550293411232,0.01854441211361768
groupsm,3,16,70,0.0016690729117528479,0.01854441211361768
groupsm,3,16,46,0.0034552453987343095,0.01854441211361768
groupsm,3,16,79,0.0028631989512736145,0.01854441211361768
groupsm,3,16,8,0.00345920035909991,0.01854441211361768
groupsm,3,16,83,0.003943190519608948,0.01854441211361768
groupsm,3,16,89,0.0029237726389071323,0.01854441211361768
groupsm,3,16,1,0.000857709103818708,0.01854441211361768
groupsm,3,16,16,0.0,0.01854441211361768
groupsm,3,16,78,0.0026881954735961744,0.01854441211361768
groupsm,3,16,63,0.003130631772863647,0.01854441211361768
groupsm,3,16,57,0.0034501446953681862,0.01854441211361768
groupsm,3,16,30,0.004968312291859165,0.01854441211361768
groupsm,3,16,49,0.0026595556789651914,0.01854441211361768
groupsm,3,16,9,0.0020601102613202575,0.01854441211361768
groupsm,3,16,41,0.002612696848954153,0.01854441211361768
groupsm,3,16,91,0.002945741820101867,0.01854441211361768
groupsm,4,66,98,0.004977972331541149,0.03654205259770982
groupsm,4,66,88,0.0043599241346882036,0.03654205259770982
groupsm,4,66,75,0.004026592970000733,0.03654205259770982
groupsm,4,66,20,0.004319595362934194,0.03654205259770982
groupsm,4,66,80,0.0035108076535342284,0.03654205259770982
groupsm,4,66,31,0.003527720947166004,0.03654205259770982
groupsm,4,66,56,0.0056052690721065885,0.03654205259770982
groupsm,4,66,34,0.0035192685469606763,0.03654205259770982
groupsm,4,66,14,0.0016238340438274157,0.03654205259770982
groupsm,4,66,86,0.004305354344862166,0.03654205259770982
groupsm,4,66,10,0.0012838220353516717,0.03654205259770982
groupsm,4,66,92,0.002187546483379406,0.03654205259770982
groupsm,4,66,24,0.0013881940088204152,0.03654205259770982
groupsm,4,66,66,0.0,0.03654205259770982
groupsm,4,66,71,0.005863137829698876,0.03654205259770982
groupsm,4,66,69,0.0013422866473547666,0.03654205259770982
groupsm,4,66,74,0.0016119593852921348,0.03654205259770982
groupsm,4,66,95,0.0031899109568860177,0.03654205259770982
groupsm,4,66,28,0.006174753694148353,0.03654205259770982
groupsm,4,66,85,0.004282038385839468,0.03654205259770982
