delta_m,delta_M,D_l
0.132,0.028999999999999998,0.002613948814559187
0.136,0.01,0.007011425782050484
0.136,0.011,0.0064951079779452855
0.136,0.012,0.0059809177032670415
0.136,0.013000000000000001,0.0054693265665064494
0.136,0.014,0.004960981310291403
0.136,0.015,0.00445679101587663
0.136,0.016,0.003958074001563391
0.136,0.017,0.0034668263527525404
0.136,0.018000000000000002,0.00298626939081211
0.136,0.019000000000000003,0.002521898052847775
0.136,0.02,0.002081629408989698
0.136,0.020999999999999998,0.0016767278063878877
0.136,0.022,0.0013354567057296993
0.136,0.023,0.001119385465743241
0.136,0.024,0.0011782943993979508
0.136,0.025,0.0014919124578725176
0.136,0.026000000000000002,0.0018991092533466223
0.136,0.027000000000000003,0.0023475100432088117
0.136,0.028000000000000004,0.0028178106489833554
0.136,0.028999999999999998,0.0033011385428185287
0.14,0.01,0.00525678503646202
0.14,0.011,0.004729508564669803
0.14,0.012,0.004202586658983574
0.14,0.013000000000000001,0.0036760195236628527
0.14,0.014,0.003149807361495709
0.14,0.015,0.002623950373841849
0.14,0.016,0.0020984487606176662
0.14,0.017,0.001573302720293596
0.14,0.018000000000000002,0.0010485124499198305
0.14,0.019000000000000003,0.0005240781450941048
0.14,0.02,0.0
0.14,0.020999999999999998,0.0005237217926122562
0.14,0.022,0.0010470870414209632
0.14,0.023,0.001570095556531912
0.14,0.024,0.002092747149464865
0.14,0.025,0.0026150416331627555
0.14,0.026000000000000002,0.0031369788219722445
0.14,0.027000000000000003,0.0036585585316782424
0.14,0.028000000000000004,0.004179780579458017
0.14,0.028999999999999998,0.004700644783897034
0.14400000000000002,0.01,0.0038467819995494285
0.14400000000000002,0.011,0.0033474761066021367
0.14400000000000002,0.012,0.0028572547101930073
0.14400000000000002,0.013000000000000001,0.002380810924779939
0.14400000000000002,0.014,0.0019270084332662575
0.14400000000000002,0.015,0.0015150599751896903
0.14400000000000002,0.016,0.001196758107207355
0.14400000000000002,0.017,0.0011303196402798726
0.14400000000000002,0.018000000000000002,0.0013397004338854763
0.14400000000000002,0.019000000000000003,0.0016774065736780356
0.14400000000000002,0.02,0.0020803996167660026
0.14400000000000002,0.020999999999999998,0.002519417090022613
0.14400000000000002,0.022,0.0029825852250528685
0.14400000000000002,0.023,0.0034616440269396513
0.14400000000000002,0.024,0.003950923230235647
0.14400000000000002,0.025,0.004447105771152247
0.14400000000000002,0.026000000000000002,0.004948141022324271
0.14400000000000002,0.027000000000000003,0.005452678656303311
0.14400000000000002,0.028000000000000004,0.005959790174674178
0.14400000000000002,0.028999999999999998,0.006468816648776366
0.14800000000000002,0.01,0.0030536956535842843
0.14800000000000002,0.011,0.002697504437751391
0.14800000000000002,0.012,0.0024122803516763032
0.14800000000000002,0.013000000000000001,0.0022511441237941634
0.14800000000000002,0.014,0.002271673106583018
0.14800000000000002,0.015,0.0024333473577465565
0.14800000000000002,0.016,0.00268367009759403
0.14800000000000002,0.017,0.0029969751754412243
0.14800000000000002,0.018000000000000002,0.0033554707671009233
0.14800000000000002,0.019000000000000003,0.0037459565601760973
0.14800000000000002,0.02,0.0041595323239613175
0.14800000000000002,0.020999999999999998,0.004590726117506391
0.14800000000000002,0.022,0.005036318216599399
0.14800000000000002,0.023,0.005493981540665702
0.14800000000000002,0.024,0.005961460438972188
0.14800000000000002,0.025,0.006436703816666647
0.14800000000000002,0.026000000000000002,0.006918088393849994
0.14800000000000002,0.027000000000000003,0.007404390190440397
0.14800000000000002,0.028000000000000004,0.007894680693481301
0.14800000000000002,0.028999999999999998,0.008388241182107065
0.15200000000000002,0.01,0.0033776105538121637
