i,j,D_l
2,23,0.0509947029633657
2,24,0.018492188416308366
2,25,0.021244371121695006
2,26,0.01635789112810696
2,27,0.01928172159619214
2,28,0.04035732127320699
2,29,0.022575679935665036
2,30,0.009263861454800295
2,31,0.05913885141346092
2,32,0.004176799810025136
2,33,0.03313880202713805
2,34,0.006254715970393549
2,35,0.04923169418314334
2,36,0.05556176496598783
2,37,0.047975052865743474
2,38,0.03432503122445427
2,39,0.005296276697128433
2,40,0.008554727939802607
2,41,0.057355980557213415
2,42,0.03642251542578848
2,43,0.006331103387486718
2,44,0.012569102593060346
2,45,0.03212764515198636
2,46,0.020316532367970052
2,47,0.008142595151468875
2,48,0.005951644647677837
2,49,0.03402967243304826
2,50,0.01819312721476725
2,51,0.04603773783386383
2,52,0.005383867520245327
2,53,0.040696501075425176
2,54,0.020052602452667708
2,55,0.021469145379795176
2,56,0.036281907350330746
2,57,0.004750655862685461
2,58,0.0483272368915446
2,59,0.020861184106222636
2,60,0.0438995779641103
2,61,0.013294494623776739
2,62,0.030844840991710924
2,63,0.02489408973692794
2,64,0.02223364615081044
2,65,0.044059460832482245
2,66,0.035891759328662
2,67,0.006207927070185985
2,68,0.05162296974035832
2,69,0.012416418639082709
2,70,0.042882729899819824
2,71,0.006909903484492751
2,72,0.04089531581632265
2,73,0.006072522271253215
2,74,0.026383780416716022
2,75,0.04717331951969584
2,76,0.0013300034509462948
2,77,0.02927778388977597
2,78,0.04363963420825563
2,79,0.05499809773692569
2,80,0.04183034546843431
2,81,0.03260731010398325
2,82,0.006298023385611723
2,83,0.0264131660596869
2,84,0.05374535731164278
2,85,0.005039215079098594
2,86,0.004421404206047802
2,87,0.05150510822313501
2,88,0.030868530891912063
2,89,0.031706325193352675
2,90,0.027396356123411958
2,91,0.011213828749664784
2,92,0.0217727055339247
2,93,0.007001767127510827
2,94,0.050910983338661626
2,95,0.007242925127181167
2,96,0.004203818925162647
2,97,0.04961290224804363
2,98,0.007264598274630763
2,99,0.02465119374297571
3,0,0.009068521040316913
3,1,0.04140978009440065
3,2,0.039394274130231756
3,3,0.0
3,4,0.024965069900529147
3,5,0.010980638702980113
3,6,0.04053818898652229
3,7,0.006864256337698218
3,8,0.04104809108552878
3,9,0.02823836815166778
3,10,0.04289358474608502
3,11,0.03204894093568983
3,12,0.023699105907154384
3,13,0.037582206446846546
3,14,0.015173727053146931
3,15,0.01798310629871526
3,16,0.03367386249252121
3,17,0.017451482087102045
3,18,0.021414878130514712
3,19,0.01793862225147781
3,20,0.018099052669892604
3,21,0.007748478881054859
3,22,0.0079266742389155
3,23,0.01808812958008649
3,24,0.021074765474070056
3,25,0.01895115053748122
3,26,0.02448078062891899
3,27,0.021903716650170973
3,28,0.0018377044406792853
3,29,0.016948296065246313
3,30,0.03019475116384881
3,31,0.021776524251224862
3,32,0.043546545140247715
3,33,0.007767108468691907
3,34,0.04336532002255951
3,35,0.015795820998810495
3,36,0.016206913954004542
3,37,0.012216339776480956
3,38,0.005155793157767488
3,39,0.037952645831172895
3,40,0.032862123725919935
3,41,0.01850769579424901
3,42,0.002981586169002034
3,43,0.03309746220513867
3,44,0.02710184712577582
3,45,0.007434894321713363
3,46,0.019174653301399853
3,47,0.03152062885751291
3,48,0.037234510764833834
3,49,0.009011887346920164
3,50,0.021751488474330224
3,51,0.009959533050469429
3,52,0.04026527980283579
3,53,0.001450926966647011
3,54,0.01935676861609611
3,55,0.018401933685672316
3,56,0.015231881007624218
3,57,0.03566044710377885
3,58,0.010935026498233321
3,59,0.019669622947799874
3,60,0.015062813685000008
3,61,0.02818353457333365
3,62,0.008875395042580735
3,63,0.015027510786916247
3,64,0.017241727444021856
3,65,0.007752385471995001
3,66,0.0035067358614663865
3,67,0.03958510639498038
3,68,0.012770343624242593
3,69,0.03243933370069833
3,70,0.01225652546405351
3,71,0.03315017264376563
3,72,0.014232699328817246
3,73,0.04543722440277688
3,74,0.015800891274003068
3,75,0.008122076773601895
3,76,0.038265753439792785
3,77,0.010477737761662368
3,78,0.012244296615526834
3,79,0.016583882411191395
3,80,0.01644575927666162
3,81,0.006867315263306856
3,82,0.04507133953797343
3,83,0.013116474878909662
3,84,0.01583616166082532
3,85,0.03437982683411354
3,86,0.0363160671931505
3,87,0.01741062476816197
3,88,0.014561437550666875
3,89,0.0077579203686943465
3,90,0.012643137275635975
3,91,0.03917385525158288
3,92,0.021211356837176138
3,93,0.04495134149258732
3,94,0.016046239057069773
3,95,0.04234240724653006
3,96,0.040376054661420344
3,97,0.010341192274024202
3,98,0.03425201419600941
3,99,0.016003730437997996
4,0,0.03386704971945588
4,1,0.01648081049179682
4,2,0.01449268866572729
4,3,0.024965069900529147
4,4,0.0
4,5,0.014279239095450548
4,6,0.015610742152752644
4,7,0.022651148432272106
4,8,0.016151567237145163
4,9,0.007444822637340813
4,10,0.018066415245812283
4,11,0.008418227604268268
4,12,0.045582232404646074
4,13,0.012632379535368297
4,14,0.03725745559115878
4,15,0.0131663382364695
4,16,0.008803123386053265
4,17,0.011587827061770084
4,18,0.04346656314925403
4,19,0.013308503799212086
4,20,0.010127198610418003
4,21,0.03106470349886252
4,22,0.028534441454186436
4,23,0.03681650675354934
4,24,0.004044564798736489
4,25,0.007374946563611468
4,26,0.006821854283241846
4,27,0.008194822645715643
4,28,0.0258993306417394
4,29,0.00843096835980548
4,30,0.005749144763597863
4,31,0.0447317261751488
4,32,0.018621920859739207
4,33,0.018682423113325266
4,34,0.018962393344632213
4,35,0.034954974618076645
4,36,0.04112647485288934
4,37,0.033553570214292894
4,38,0.01993939958509665
4,39,0.013695278189203446
4,40,0.008239848800777914
4,41,0.042890526314585446
4,42,0.0220016751793776
4,43,0.008164084454315795
4,44,0.005818861431970784
4,45,0.01778539147337391
4,46,0.005825437092628284
4,47,0.007490136982759012
4,48,0.012362084528881297
4,49,0.01962115434191187
4,50,0.004538301815283814
4,51,0.03158497978859329
4,52,0.015907291315720395
4,53,0.026251405009126507
4,54,0.005639523381250349
4,55,0.007214209548248819
4,56,0.022394845956398002
4,57,0.011388917978843852
4,58,0.0338648514885143
4,59,0.007510154075546209
4,60,0.0297275876021681
4,61,0.007746167937799034
4,62,0.016357612052569834
4,63,0.010505797872777757
4,64,0.007747842857923055
4,65,0.02958758055813807
4,66,0.02146429014308917
4,67,0.015431571092183592
4,68,0.03715178590818776
4,69,0.010998107938537118
4,70,0.028542704974597446
4,71,0.008228565431746037
4,72,0.02673929000863907
4,73,0.020562887508326817
4,74,0.013095145774939922
4,75,0.0327051901242869
