method,group_id,leader,member,delta_error,leader_error,optimal_error
groupsm,1,45,58,0.1507290725901953,434.4034864546338,434.2527573820436
groupsm,1,45,5,0.07340195716471953,430.83780088416626,430.76439892700154
groupsm,1,45,51,0.023118132841034367,419.50690681339125,419.4837886805502
groupsm,1,45,26,0.0822142372109056,429.7901795149111,429.70796527770017
groupsm,1,45,48,0.07151647879555867,416.4015108573804,416.32999437858484
groupsm,1,45,55,0.38414404213079933,440.88381069910673,440.49966665697593
groupsm,1,45,39,0.016609118696976566,419.87718128911735,419.86057217042037
groupsm,1,45,17,0.07761139764534164,415.86853094020177,415.7909195425564
groupsm,1,45,77,0.004426911200312134,422.9611621791482,422.95673526794786
groupsm,2,42,18,0.10462585181119266,433.8860989297355,433.7814730779243
groupsm,2,42,54,0.023037658920543436,443.51799063997186,443.4949529810513
groupsm,2,42,67,0.16814368252568102,453.16815952590275,453.00001584337707
groupsm,2,42,68,0.15329391580962692,450.86196533040675,450.7086714145971
groupsm,2,42,60,0.17318525054434986,454.17661621254,454.00343096199566
groupsm,2,42,62,0.11256634859699943,436.63559983190925,436.52303348331225
groupsm,2,42,90,0.18670509013509218,454.9566819480594,454.7699768579243
groupsm,2,42,32,0.10128587266348177,451.67135657223577,451.5700706995723
groupsm,2,42,94,0.08979663912361957,448.33325811915097,448.24346148002735
groupsm,2,42,84,0.07298455869084819,447.70501392381294,447.6320293651221
groupsm,2,42,11,0.07898135334403378,446.0858064951429,446.00682514179886
groupsm,2,42,50,0.06855508480703065,446.7186606945267,446.6501056097197
groupsm,2,42,3,0.10529389619665608,451.6948930653029,451.58959916910624
groupsm,2,42,76,0.029120069154203065,440.06306185111197,440.03394178195776
groupsm,2,42,61,0.004784815349694327,444.6492947920542,444.6445099767045
groupsm,2,42,19,0.07171951839217172,436.75431973455414,436.682600216162
groupsm,2,42,37,0.0011026473739548237,443.6732029070339,443.67210025965994
groupsm,2,42,42,0.0,442.7257457382489,442.7257457382489
groupsm,2,42,53,0.03238253950297576,438.2834785435465,438.2510960040435
