t,leader_58,env_low_58,env_high_58,leader_50,env_low_50,env_high_50
28,-0.03078302916996127,-0.10220998407704107,0.06049750541704531,0.017256477692311548,-0.0650271989926677,0.04877345182341189
29,0.04517088549925841,-0.044781187967268155,0.04517088549925841,0.029360634635322583,-0.07339893870570578,0.08078980463929757
30,0.025320052125770615,-0.05640353856126694,0.05031296470794955,-0.038099959356254855,-0.05649818399312512,0.07193765722582975
31,-0.024032882144186085,-0.05541432433055926,0.03425750253793167,0.012732314647105003,-0.07293763968257122,0.07292400869559998
32,0.003401876978859384,-0.07113042409523557,0.06415183382171682,0.052156968154507335,-0.06106525842218196,0.07054366323789885
33,0.004045480170289009,-0.04483255136659056,0.0845175879394584,0.009863763470037732,-0.12672117643888586,0.060380741789082926
34,-0.003955575812772085,-0.06508946387570133,0.07049312026948157,0.05366260707303751,-0.07350811812747891,0.057585524340766664
35,-0.04485091841199348,-0.05213165784317926,0.058520061628660205,-0.054607616690274446,-0.054607616690274446,0.053389741219325194
36,0.059242738368308234,-0.05809596445772638,0.06933669887635541,-0.030657294656758424,-0.06453136509266971,0.05429886333799758
37,0.053973272239680556,-0.055304654659459614,0.06033261343152009,-0.014164731501785943,-0.0631329273683821,0.07891885078452901
38,0.029067359380734275,-0.06370033437571877,0.049744187050336675,0.03205781196963413,-0.05620472880449734,0.07142522105927097
39,-0.019735038874260133,-0.044867972463976585,0.05065095904043045,0.004311636499808733,-0.06791165608015781,0.058465506232026974
40,-0.03902631888190652,-0.06573654484079021,0.06232812629783638,-0.005777159047519869,-0.07808368206684904,0.06719458714310332
41,-0.018295685877532095,-0.056053693207624045,0.06370170135780742,0.0021454992664079273,-0.07334023128784217,0.041133593407445795
42,0.0017832823632020294,-0.054598450848965446,0.05401299377785983,0.0013217365483838475,-0.0782892660434365,0.07664208658242525
43,-0.005136989473605451,-0.048232472221874115,0.029179165944328775,-0.01730861703388933,-0.055678150207065,0.06655009503811779
44,-0.010445577785349294,-0.0715828907025466,0.05288722339235551,0.010034869388928476,-0.05993718200193485,0.06226539442628584
45,0.013585530574223086,-0.042497785806185795,0.0646370699269848,0.009435000191743592,-0.0736508303376681,0.08007786878923383
46,0.0058666270990520766,-0.05650905930505273,0.06792584064956825,0.04859034202981977,-0.04462221745570137,0.0778451592890801
47,0.014022108551424127,-0.05150983057561172,0.06264922601425038,-0.004407858988250446,-0.09488145395478834,0.0688782714589064
48,-0.08164698826928743,-0.08164698826928743,0.056048612444729036,-0.01468466029989406,-0.07448698956653388,0.0639898539898554
49,-0.050177547858416924,-0.050177547858416924,0.050952725027021625,-0.02393675955216657,-0.07663990432826412,0.05212052795652519
50,-0.02701377426880211,-0.06318105609495811,0.03939641140586335,0.02797453180489153,-0.06890256674224729,0.07765082107989092
